[23-Nov-2024 01:40:15 America/Los_Angeles] PHP Warning:  Undefined variable $result in /Applications/AMPPS/www/Phase_3/lib/show_queries.php on line 10
[23-Nov-2024 02:07:39 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:07:51 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:08:34 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:08:50 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:08:54 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:13:13 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:13:13 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:13:31 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:13:31 America/Los_Angeles] PHP Deprecated:  urlencode(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 31
[23-Nov-2024 02:13:46 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:13:46 America/Los_Angeles] PHP Deprecated:  urlencode(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 31
[23-Nov-2024 02:14:59 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:14:59 America/Los_Angeles] PHP Deprecated:  urlencode(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 31
[23-Nov-2024 02:15:06 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:15:06 America/Los_Angeles] PHP Deprecated:  urlencode(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 26
[23-Nov-2024 02:15:12 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:15:12 America/Los_Angeles] PHP Deprecated:  urlencode(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 26
[23-Nov-2024 02:15:25 America/Los_Angeles] PHP Warning:  Undefined array key "VIN" in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 4
[23-Nov-2024 02:15:25 America/Los_Angeles] PHP Deprecated:  urlencode(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/search_vendor.php on line 22
[23-Nov-2024 02:20:29 America/Los_Angeles] PHP Warning:  Undefined array key "target_VIN" in /Applications/AMPPS/www/Phase_3/add_parts_order.php on line 7
[23-Nov-2024 02:20:29 America/Los_Angeles] PHP Deprecated:  htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/add_parts_order.php on line 26
[23-Nov-2024 02:20:29 America/Los_Angeles] PHP Deprecated:  htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated in /Applications/AMPPS/www/Phase_3/add_parts_order.php on line 30
